FID,objectid,id,name,road_front,suburb,se_area_sh,se_length_,On_Off,Details,GlobalID,SHAPE_Length,SHAPE_Area
103,84,1,Charles Plimmer Park,no,Mt Victoria,0,0,Off leash,Off leash under control of owner,{4AFA51B6-75EF-4C3D-A665-9F58DF016DCF},521.151980209637,9529.56028875493
104,85,1,Izard Park,yes,Wilton,0,0,Off leash,Off leash under control of owner,{CE05E672-1DD8-447B-A157-4B8DCB4ECDBA},382.896515571442,6075.68016301849
105,86,1,Grasslees Reserve,yes,Tawa,0,0,Off leash,Off leash under control of owner,{275DA7E4-FC05-4625-9665-BD0323CF3128},371.561278916084,4979.0745088973
106,87,1,Flinders Park,yes,Johnsonville,0,0,Off leash,Off leash under control of owner,{8295D6B3-A39C-425D-ABD4-5A884C735E8C},451.336173872404,6915.16762626234
107,88,1,The Terrace,yes,Wellington Central,0,0,Off leash,Off leash under control of owner,{76EB5048-D931-4AE9-BB7A-B9666D032361},366.330339258745,6307.37699725936
108,89,1,Spenmore St Park,yes,Newlands,0,0,Off leash,Off leash under control of owner,{2CC49D5E-F848-4810-888A-EFA221C206F1},375.151767399673,7811.15839271198
109,90,1,Ohiro Park (aka Tanera Park),yes,Brooklyn,0,0,Off leash,Off leash under control of owner,{925BA952-CC1F-4DD2-81D7-88866E1CD59A},792.581894372152,16441.1667264157
110,91,1,Odell Reserve,yes,Khandallah,0,0,Off leash,Off leash under control of owner,{BE053BAE-542F-4792-9A9D-40885C451DD9},923.260805680268,4620.22632027353
111,92,1,Newtown Park,yes,Berhampore,0,0,Off leash,Off leash under control of owner,{F670DDA3-DEBE-4B61-ABBA-D6BD58300AF4},745.532122440387,16657.9687702225
112,93,1,Edward Wilson Park,yes,Churton Park,0,0,Off leash,Off leash under control of owner,{B18283B4-C205-46CE-A5F0-C5D19BF9D7A4},695.166231013072,28046.2801183918
113,94,1,Polhil,yes,Aro Valley,0,0,Off leash,Off leash under control of owner,{E918C627-DCCE-4511-A86F-16876E6609A1},238.406744093793,2103.31282962149
114,95,1,Cashmere Park,yes,Khandallah,0,0,Off leash,Off leash under control of owner,{5BB56291-1AE8-4D2D-BDFE-BB5110FDAAD0},447.696783377407,6167.43712967054
115,96,1,Worser Bay/Awa Rd corner,yes,Seatoun,0,0,Off leash,Off leash under control of owner,{67139E87-7444-4A9E-B9B2-3CA922CB2B14},354.199874136733,4605.80300893663
116,97,1,Te Ahumairangi Hill,no,Northland,0,0,Off leash,Off leash under control of owner,{1D738CD1-4807-4149-BCF3-ADC946D83F8E},3641.25686084899,63982.9641432992
117,98,1,Cog Park,yes,Hataitai,0,0,Off leash,Off leash under control of owner,{00484643-059D-49AF-B74B-32876A9129BC},293.180019712124,4187.84590679286
118,101,1,Taylor Park,yes,Tawa,0,0,Off leash,Off leash under control of owner,{5903E102-E3CF-4F78-9D08-0C1F15E20D7C},588.039741939154,11524.7891056613
119,102,1,Dorrie Leslie Park,yes,Lyall Bay,0,0,Off leash,Off leash under control of owner,{29F6B0E6-5519-499D-A6CD-3800C4045728},1290.42486234169,18896.1368984294
